problem_id,submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,input_file,output_file,compiler,optimization_level,is_stripped,obfuscator,obfuscation_techniques,verification_status,function_count,nloc,cc_total,cc_max,decision_points,cf_density,length_group,complexity_group,stratum,representative_random_score,length_rank,complexity_rank_within_length_group,lizard_error
p00001,s092364643,405,1953,clean_src/p00001/s092364643.c,obfuscated_bin/p00001/s092364643_fla_bcf_instsub.elf,input_output/p00001/input.txt,input_output/p00001/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,61,12,5,7,11.475409836065573,short,simple,short_simple,0.767930254897737,564,98,
p00002,s456363845,331,880,clean_src/p00002/s456363845.c,obfuscated_bin/p00002/s456363845_fla_bcf_instsub.elf,input_output/p00002/input.txt,input_output/p00002/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,30,17,17,16,53.333333333333336,short,complex,short_complex,0.8018739211863904,312,1260,
p00003,s783809535,422,691,clean_src/p00003/s783809535.c,obfuscated_bin/p00003/s783809535_fla_bcf_instsub.elf,input_output/p00003/input.txt,input_output/p00003/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,25,12,12,11,44.0,short,complex,short_complex,0.8738661457013752,615,1204,
p00004,s660849316,537,1033,clean_src/p00004/s660849316.c,obfuscated_bin/p00004/s660849316_fla_bcf_instsub.elf,input_output/p00004/input.txt,input_output/p00004/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,59,16,9,14,23.728813559322035,short,simple,short_simple,0.8744291835081064,914,612,
p00005,s148475328,302,625,clean_src/p00005/s148475328.c,obfuscated_bin/p00005/s148475328_fla_bcf_instsub.elf,input_output/p00005/input.txt,input_output/p00005/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,31,8,8,7,22.58064516129032,short,simple,short_simple,0.8839836957776608,200,562,
p00006,s902645997,307,663,clean_src/p00006/s902645997.c,obfuscated_bin/p00006/s902645997_fla_bcf_instsub.elf,input_output/p00006/input.txt,input_output/p00006/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,40,13,7,10,25.0,short,complex,short_complex,0.9956058107619828,218,660,
p00007,s989159370,352,1549,clean_src/p00007/s989159370.c,obfuscated_bin/p00007/s989159370_fla_bcf_instsub.elf,input_output/p00007/input.txt,input_output/p00007/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,72,16,11,14,19.444444444444446,short,simple,short_simple,0.04603857898839392,375,410,
p00008,s771404612,261,643,clean_src/p00008/s771404612.c,obfuscated_bin/p00008/s771404612_fla_bcf_instsub.elf,input_output/p00008/input.txt,input_output/p00008/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,45,13,13,12,26.666666666666668,short,complex,short_complex,0.982691174123276,23,747,
p00009,s308363767,552,2224,clean_src/p00009/s308363767.c,obfuscated_bin/p00009/s308363767_fla_bcf_instsub.elf,input_output/p00009/input.txt,input_output/p00009/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,86,14,9,11,12.790697674418606,short,simple,short_simple,0.9662424024034004,958,133,
p00010,s791455576,1290,1852,clean_src/p00010/s791455576.c,obfuscated_bin/p00010/s791455576_fla_bcf_instsub.elf,input_output/p00010/input.txt,input_output/p00010/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,80,9,9,8,10.0,long,simple,long_simple,0.9836405050981696,1967,79,
