problem_id,submission_id,token_count,file_size_bytes,clean_source,obfuscated_binary,input_file,output_file,compiler,optimization_level,is_stripped,obfuscator,obfuscation_techniques,verification_status,function_count,nloc,cc_total,cc_max,decision_points,cf_density,max_nesting_depth,length_group,complexity_group,stratum,representative_random_score,selection_bucket_index,selection_rank_in_stratum,random_seed,output_dir,copied_clean_source,copied_binary,copied_input,copied_output
p04028,s626776881,442,1320,clean_src/p04028/s626776881.c,obfuscated_bin/p04028/s626776881_fla_bcf_instsub.elf,input_output/p04028/input.txt,input_output/p04028/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,4,48,8,3,4,8.333333333333332,2,short,simple,short_simple,0.8743846209931994,1,33,20260717,Data_Thuc_Nghiem/short_simple/p04028,Data_Thuc_Nghiem/short_simple/p04028/s626776881.c,Data_Thuc_Nghiem/short_simple/p04028/s626776881_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p04028/input.txt,Data_Thuc_Nghiem/short_simple/p04028/output.txt
p00001,s092364643,405,1953,clean_src/p00001/s092364643.c,obfuscated_bin/p00001/s092364643_fla_bcf_instsub.elf,input_output/p00001/input.txt,input_output/p00001/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,61,12,5,7,11.475409836065573,3,short,simple,short_simple,0.767930254897737,2,98,20260717,Data_Thuc_Nghiem/short_simple/p00001,Data_Thuc_Nghiem/short_simple/p00001/s092364643.c,Data_Thuc_Nghiem/short_simple/p00001/s092364643_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p00001/input.txt,Data_Thuc_Nghiem/short_simple/p00001/output.txt
p02814,s915631953,660,3506,clean_src/p02814/s915631953.c,obfuscated_bin/p02814/s915631953_fla_bcf_instsub.elf,input_output/p02814/input.txt,input_output/p02814/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,7,148,27,7,20,13.513513513513514,4,short,simple,short_simple,0.9983074634280358,3,163,20260717,Data_Thuc_Nghiem/short_simple/p02814,Data_Thuc_Nghiem/short_simple/p02814/s915631953.c,Data_Thuc_Nghiem/short_simple/p02814/s915631953_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p02814/input.txt,Data_Thuc_Nghiem/short_simple/p02814/output.txt
p03510,s583362876,629,1910,clean_src/p03510/s583362876.c,obfuscated_bin/p03510/s583362876_fla_bcf_instsub.elf,input_output/p03510/input.txt,input_output/p03510/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,5,71,16,7,11,15.492957746478872,3,short,simple,short_simple,0.7552613169822919,4,228,20260717,Data_Thuc_Nghiem/short_simple/p03510,Data_Thuc_Nghiem/short_simple/p03510/s583362876.c,Data_Thuc_Nghiem/short_simple/p03510/s583362876_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p03510/input.txt,Data_Thuc_Nghiem/short_simple/p03510/output.txt
p00788,s998194081,344,1303,clean_src/p00788/s998194081.c,obfuscated_bin/p00788/s998194081_fla_bcf_instsub.elf,input_output/p00788/input.txt,input_output/p00788/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,4,71,16,8,12,16.901408450704224,3,short,simple,short_simple,0.788832983439004,5,293,20260717,Data_Thuc_Nghiem/short_simple/p00788,Data_Thuc_Nghiem/short_simple/p00788/s998194081.c,Data_Thuc_Nghiem/short_simple/p00788/s998194081_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p00788/input.txt,Data_Thuc_Nghiem/short_simple/p00788/output.txt
p03430,s601450783,349,857,clean_src/p03430/s601450783.c,obfuscated_bin/p03430/s601450783_fla_bcf_instsub.elf,input_output/p03430/input.txt,input_output/p03430/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,33,8,7,6,18.181818181818183,4,short,simple,short_simple,0.8581621126602387,6,358,20260717,Data_Thuc_Nghiem/short_simple/p03430,Data_Thuc_Nghiem/short_simple/p03430/s601450783.c,Data_Thuc_Nghiem/short_simple/p03430/s601450783_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p03430/input.txt,Data_Thuc_Nghiem/short_simple/p03430/output.txt
p00678,s961523709,398,1059,clean_src/p00678/s961523709.c,obfuscated_bin/p00678/s961523709_fla_bcf_instsub.elf,input_output/p00678/input.txt,input_output/p00678/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,4,56,15,6,11,19.642857142857142,2,short,simple,short_simple,0.5401257428421253,7,423,20260717,Data_Thuc_Nghiem/short_simple/p00678,Data_Thuc_Nghiem/short_simple/p00678/s961523709.c,Data_Thuc_Nghiem/short_simple/p00678/s961523709_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p00678/input.txt,Data_Thuc_Nghiem/short_simple/p00678/output.txt
p00033,s763935897,492,1307,clean_src/p00033/s763935897.c,obfuscated_bin/p00033/s763935897_fla_bcf_instsub.elf,input_output/p00033/input.txt,input_output/p00033/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,62,15,12,13,20.967741935483872,4,short,simple,short_simple,0.7033199289899251,8,488,20260717,Data_Thuc_Nghiem/short_simple/p00033,Data_Thuc_Nghiem/short_simple/p00033/s763935897.c,Data_Thuc_Nghiem/short_simple/p00033/s763935897_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p00033/input.txt,Data_Thuc_Nghiem/short_simple/p00033/output.txt
p01315,s212409236,461,980,clean_src/p01315/s212409236.c,obfuscated_bin/p01315/s212409236_fla_bcf_instsub.elf,input_output/p01315/input.txt,input_output/p01315/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,49,14,10,11,22.448979591836736,4,short,simple,short_simple,0.9713025825480694,9,553,20260717,Data_Thuc_Nghiem/short_simple/p01315,Data_Thuc_Nghiem/short_simple/p01315/s212409236.c,Data_Thuc_Nghiem/short_simple/p01315/s212409236_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p01315/input.txt,Data_Thuc_Nghiem/short_simple/p01315/output.txt
p02950,s864110221,462,1103,clean_src/p02950/s864110221.c,obfuscated_bin/p02950/s864110221_fla_bcf_instsub.elf,input_output/p02950/input.txt,input_output/p02950/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,63,17,14,15,23.809523809523807,4,short,simple,short_simple,0.9799359872302782,10,618,20260717,Data_Thuc_Nghiem/short_simple/p02950,Data_Thuc_Nghiem/short_simple/p02950/s864110221.c,Data_Thuc_Nghiem/short_simple/p02950/s864110221_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_simple/p02950/input.txt,Data_Thuc_Nghiem/short_simple/p02950/output.txt
p00693,s746355550,433,1343,clean_src/p00693/s746355550.c,obfuscated_bin/p00693/s746355550_fla_bcf_instsub.elf,input_output/p00693/input.txt,input_output/p00693/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,2,59,17,13,15,25.423728813559322,4,short,complex,short_complex,0.8883982985208481,1,33,20260717,Data_Thuc_Nghiem/short_complex/p00693,Data_Thuc_Nghiem/short_complex/p00693/s746355550.c,Data_Thuc_Nghiem/short_complex/p00693/s746355550_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p00693/input.txt,Data_Thuc_Nghiem/short_complex/p00693/output.txt
p00008,s771404612,261,643,clean_src/p00008/s771404612.c,obfuscated_bin/p00008/s771404612_fla_bcf_instsub.elf,input_output/p00008/input.txt,input_output/p00008/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,1,45,13,13,12,26.666666666666668,7,short,complex,short_complex,0.982691174123276,2,98,20260717,Data_Thuc_Nghiem/short_complex/p00008,Data_Thuc_Nghiem/short_complex/p00008/s771404612.c,Data_Thuc_Nghiem/short_complex/p00008/s771404612_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p00008/input.txt,Data_Thuc_Nghiem/short_complex/p00008/output.txt
p00859,s595927985,596,1581,clean_src/p00859/s595927985.c,obfuscated_bin/p00859/s595927985_fla_bcf_instsub.elf,input_output/p00859/input.txt,input_output/p00859/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,7,57,23,12,16,28.07017543859649,6,short,complex,short_complex,0.8151399444964402,3,163,20260717,Data_Thuc_Nghiem/short_complex/p00859,Data_Thuc_Nghiem/short_complex/p00859/s595927985.c,Data_Thuc_Nghiem/short_complex/p00859/s595927985_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p00859/input.txt,Data_Thuc_Nghiem/short_complex/p00859/output.txt
p01687,s146593197,364,1159,clean_src/p01687/s146593197.c,obfuscated_bin/p01687/s146593197_fla_bcf_instsub.elf,input_output/p01687/input.txt,input_output/p01687/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,61,21,15,18,29.508196721311474,2,short,complex,short_complex,0.6467991327075746,4,228,20260717,Data_Thuc_Nghiem/short_complex/p01687,Data_Thuc_Nghiem/short_complex/p01687/s146593197.c,Data_Thuc_Nghiem/short_complex/p01687/s146593197_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p01687/input.txt,Data_Thuc_Nghiem/short_complex/p01687/output.txt
p02100,s624710482,260,527,clean_src/p02100/s624710482.c,obfuscated_bin/p02100/s624710482_fla_bcf_instsub.elf,input_output/p02100/input.txt,input_output/p02100/output.txt,llvm-clang-14,O0,True,OLLVM_Heroims_NewPass,"[""BCF"", ""FLA"", ""INSTSUB""]",SUCCESS,3,32,13,7,10,31.25,1,short,complex,short_complex,0.7156229272507516,5,293,20260717,Data_Thuc_Nghiem/short_complex/p02100,Data_Thuc_Nghiem/short_complex/p02100/s624710482.c,Data_Thuc_Nghiem/short_complex/p02100/s624710482_fla_bcf_instsub.elf,Data_Thuc_Nghiem/short_complex/p02100/input.txt,Data_Thuc_Nghiem/short_complex/p02100/output.txt
